Atom_Index, Neighbour_Index, distance
85,100,0.70711
86,1,0.70711
86,12,0.70711
86,13,0.70711
86,16,0.70711
86,73,0.70711
86,75,0.70711
86,79,0.70711
86,84,0.70711
86,85,0.70711
86,87,0.70711
86,88,0.70711
86,91,0.70711
87,12,0.70711
87,13,0.70711
87,21,0.70711
87,24,0.70711
87,84,0.70711
87,85,0.70711
87,86,0.70711
87,93,0.70711
87,94,0.70711
87,96,0.70711
87,98,0.70711
87,106,0.70711
88,43,0.70711
88,50,0.70711
88,54,0.70711
88,55,0.70711
88,73,0.70711
88,77,0.70711
88,79,0.70711
88,85,0.70711
88,86,0.70711
88,89,0.70711
88,90,0.70711
88,91,0.70711
89,54,0.70711
89,55,0.70711
89,59,0.70711
89,66,0.70711
89,88,0.70711
89,90,0.70711
89,91,0.70711
89,92,0.70711
89,95,0.70711
89,100,0.70711
89,102,0.70711
89,104,0.70711
90,5,0.70711
90,16,0.70711
90,17,0.70711
90,20,0.70711
90,77,0.70711
90,79,0.70711
90,83,0.70711
90,88,0.70711
90,89,0.70711
90,91,0.70711
90,92,0.70711
90,95,0.70711
91,13,0.70711
91,16,0.70711
91,17,0.70711
91,28,0.70711
91,85,0.70711
91,86,0.70711
91,88,0.70711
91,89,0.70711
91,90,0.70711
91,98,0.70711
91,100,0.70711
91,102,0.70711
92,47,0.70711
92,54,0.70711
92,58,0.70711
92,59,0.70711
92,77,0.70711
92,81,0.70711
92,83,0.70711
92,89,0.70711
92,90,0.70711
92,93,0.70711
92,94,0.70711
92,95,0.70711
93,51,0.70711
93,58,0.70711
93,59,0.70711
93,70,0.70711
93,84,0.70711
93,87,0.70711
93,92,0.70711
93,94,0.70711
93,95,0.70711
93,96,0.70711
93,104,0.70711
93,106,0.70711
94,9,0.70711
94,12,0.70711
94,20,0.70711
94,21,0.70711
94,75,0.70711
94,81,0.70711
94,83,0.70711
94,84,0.70711
94,87,0.70711
94,92,0.70711
94,93,0.70711
94,95,0.70711
95,17,0.70711
